Serial No,Crime_Type,Year_of_Crime,Gender,Area_Name,Detailed_Area,Latitude,Longitude,Location,Time,link
92,Murder,2025,Male,Jigatola,Jigatola Bus Stand,23.73939163,90.37530868,"23.73939163104912, 90.3753086802932",Evening,https://www.dhakatribune.com/bangladesh/dhaka/381455/two-killed-in-separate-stabbing-attacks-in-dhaka
93,Assault,2025,"Male, Female",Mohammadpur,Ittadir Mor,23.75303674,90.36333072,"23.753036738673067, 90.3633307244701",Night,https://en.prothomalo.com/bangladesh/crime-and-law/04eqhsdk2a
94,Murder,2024,Male,Rayerbazar,Sadek Khan Bazar,23.74742816,90.35978883,"23.74742816100144, 90.35978883473723",Evening,https://www.tbsnews.net/bangladesh/crime/two-youths-hacked-death-mohammadpur-946216
95,"Extortion, Gunshot",2025,Male,Mohammadpur,Sher Shah Suri Road,23.76175985,90.36489207,"23.76175985274837, 90.36489206679978",Afternoon,https://www.tbsnews.net/bangladesh/extortion-threats-mohammadpur-businessmans-residence-shot-twice-within-month-1128676
96,Murder,2024,Male,Mohammadpur,"Dhaka Udyan, Road 3",23.76435315,90.34186365,"23.76435314675121, 90.34186365074079",Night,https://www.thedailystar.net/news/bangladesh/crime-justice/news/night-guard-stabbed-death-3725231
97,Rape,2023,Female,Bosila,Bosila Future Town,23.75495736,90.34864584,"23.75495735667793, 90.34864583796428",Night,https://www.tbsnews.net/bangladesh/crime/womans-dreadful-night-dhaka-580558
98,"Mugging, Assault",2024,"Male, Female",Dhanmondi,Dhanmondi 32 no.,23.75141721,90.37477611,"23.75141721049215, 90.37477610584602",Dawn,https://www.youtube.com/watch?v=sjzYnKGbvts
99,"Mugging, Murder",2023,Male,Dhanmondi,Sheikh Jamal Club Playground,23.74630933,90.38030116,"23.746309329562532, 90.38030116475375",Night,https://www.thedailystar.net/news/bangladesh/crime-justice/news/ideal-college-student-stabbed-death-muggers-dhanmondi-3371221
100,Assault,2024,Male,Mohammadpur,Shia Mosque Area,23.76246015,90.359077,"23.76246014874853, 90.35907699563512",Night,https://bdnews24.com/bangladesh/3ad3d31bb763
101,Mugging,2024,Male,Mohammadpur,"Road 3, Nobodoy Housing Area",23.76450775,90.35089732,"23.764507749026503, 90.3508973195379",Afternoon,https://www.dailypost.net/bangladesh/hijacking-in-dhaka-runs-entire-year/8877
